investor_id,age_group,city_tier,risk_appetite,investment_cr,tenure_years,channel,gender
1173,26-35,Tier 2,Moderate,0.4977,4.1,Online,F
1174,18-25,Tier 1,Aggressive,0.0557,1.2,Direct,F
1175,36-45,Tier 2,Conservative,0.0797,1.2,Bank,M
1176,18-25,Tier 3,Moderate,0.273,4.3,Bank,M
1177,55+,Tier 2,Moderate,0.2147,5.6,Direct,F
1178,55+,Tier 2,Moderate,0.1975,8.9,Online,F
1179,36-45,Tier 1,Aggressive,0.2555,2.2,Online,F
1180,55+,Tier 3,Aggressive,0.1796,1.9,Bank,M
1181,18-25,Tier 2,Conservative,0.538,2.2,Direct,F
1182,55+,Tier 3,Aggressive,0.0487,1.4,Bank,F
1183,18-25,Tier 2,Aggressive,0.1351,8.4,Direct,F
1184,36-45,Tier 3,Aggressive,0.361,1.4,Direct,F
1185,36-45,Tier 3,Moderate,1.4278,1.7,Distributor,M
1186,26-35,Tier 1,Conservative,1.1248,1.0,Distributor,M
1187,26-35,Tier 2,Conservative,0.4973,1.9,Distributor,F
1188,26-35,Tier 2,Conservative,0.0739,2.1,Online,F
1189,46-55,Tier 1,Aggressive,0.7226,1.2,Distributor,F
1190,36-45,Tier 1,Aggressive,0.5846,1.1,Distributor,F
1191,36-45,Tier 2,Conservative,0.4023,5.2,Online,F
1192,26-35,Tier 1,Conservative,0.4461,1.7,Distributor,F
1193,46-55,Tier 2,Aggressive,0.2075,1.4,Distributor,M
1194,26-35,Tier 1,Moderate,0.5694,0.0,Distributor,M
1195,55+,Tier 3,Conservative,0.6526,4.3,Direct,F
1196,36-45,Tier 2,Moderate,0.0916,2.3,Distributor,F
1197,55+,Tier 2,Aggressive,0.0992,5.9,Bank,M
1198,55+,Tier 2,Conservative,0.168,3.5,Online,M
1199,36-45,Tier 1,Conservative,0.0359,2.1,Distributor,M
1200,46-55,Tier 3,Conservative,0.303,0.5,Bank,M
1201,18-25,Tier 1,Conservative,0.9517,0.8,Direct,M
1202,36-45,Tier 2,Moderate,0.1074,0.7,Online,M
1203,18-25,Tier 3,Moderate,0.1712,0.7,Bank,F
1204,18-25,Tier 3,Aggressive,0.4413,0.8,Distributor,F
1205,55+,Tier 1,Moderate,0.4674,0.2,Online,F
1206,36-45,Tier 1,Conservative,0.1952,1.0,Online,F
1207,55+,Tier 1,Aggressive,0.6342,3.7,Bank,F
1208,46-55,Tier 1,Conservative,0.2804,5.6,Distributor,M
1209,26-35,Tier 2,Moderate,0.6159,1.8,Online,M
1210,55+,Tier 1,Moderate,0.5947,1.6,Direct,M
1211,36-45,Tier 1,Aggressive,0.0108,5.9,Bank,F
1212,18-25,Tier 2,Aggressive,0.0761,2.0,Distributor,M
1213,55+,Tier 3,Conservative,1.0242,0.5,Direct,M
1214,46-55,Tier 2,Aggressive,0.1342,1.2,Bank,M
1215,46-55,Tier 1,Aggressive,0.5422,3.1,Distributor,F
1216,55+,Tier 3,Aggressive,0.9148,2.5,Online,M
1217,55+,Tier 1,Aggressive,0.0903,0.4,Bank,M
1218,55+,Tier 2,Conservative,0.8488,4.4,Bank,M
1219,46-55,Tier 1,Moderate,1.3169,0.8,Distributor,M
1220,26-35,Tier 1,Aggressive,0.3371,2.9,Distributor,F
1221,26-35,Tier 1,Conservative,0.8716,0.0,Distributor,M
1222,18-25,Tier 1,Conservative,0.1324,2.3,Online,M
1223,55+,Tier 2,Conservative,1.1932,5.7,Distributor,F
1224,55+,Tier 2,Aggressive,0.2674,2.4,Bank,M
1225,26-35,Tier 2,Moderate,0.5937,0.4,Direct,F
1226,36-45,Tier 1,Moderate,0.302,2.0,Online,M
1227,46-55,Tier 2,Aggressive,0.1537,2.8,Distributor,M
1228,55+,Tier 2,Conservative,0.9673,0.3,Distributor,M
1229,46-55,Tier 1,Moderate,0.3806,4.9,Online,F
1230,46-55,Tier 1,Conservative,0.044,2.3,Distributor,M
1231,36-45,Tier 1,Moderate,0.9322,1.7,Direct,M
1232,55+,Tier 2,Conservative,1.0943,0.2,Direct,M
1233,55+,Tier 1,Aggressive,0.1953,0.4,Distributor,M
1234,36-45,Tier 1,Moderate,0.2049,1.3,Distributor,M
1235,55+,Tier 1,Conservative,0.5605,0.3,Direct,F
1236,46-55,Tier 3,Aggressive,0.0204,1.0,Direct,F
1237,36-45,Tier 2,Moderate,0.361,0.5,Bank,M
1238,36-45,Tier 1,Moderate,0.9765,5.5,Direct,M
1239,36-45,Tier 2,Aggressive,0.2988,4.3,Online,M
1240,36-45,Tier 3,Moderate,0.2112,8.0,Online,M
1241,18-25,Tier 1,Conservative,0.4834,0.5,Distributor,F
1242,55+,Tier 1,Moderate,0.9575,9.2,Distributor,F
1243,36-45,Tier 1,Aggressive,0.4264,3.1,Online,M
1244,36-45,Tier 2,Conservative,0.8716,0.2,Direct,M
1245,26-35,Tier 1,Moderate,0.2915,4.9,Online,F
1246,36-45,Tier 2,Conservative,0.1354,1.8,Online,F
1247,26-35,Tier 1,Aggressive,0.2057,3.0,Bank,M
1248,18-25,Tier 3,Conservative,1.3177,3.0,Bank,F
1249,26-35,Tier 1,Conservative,0.9225,0.2,Distributor,M
1250,36-45,Tier 2,Aggressive,0.5009,4.4,Distributor,M
1251,36-45,Tier 1,Aggressive,0.2447,1.8,Direct,M
1252,18-25,Tier 2,Conservative,0.5355,0.4,Bank,F
1253,26-35,Tier 2,Conservative,0.4446,0.1,Distributor,M
1254,18-25,Tier 2,Moderate,0.6996,6.4,Bank,M
1255,26-35,Tier 1,Aggressive,0.2178,4.0,Direct,M
1256,26-35,Tier 2,Aggressive,0.5765,2.7,Distributor,F
1257,46-55,Tier 3,Moderate,0.8641,0.4,Bank,F
1258,36-45,Tier 1,Moderate,0.0106,5.5,Direct,None
1259,18-25,Tier 3,Aggressive,0.4811,3.3,Bank,F
1260,26-35,Tier 1,Conservative,0.815,3.2,Online,M
1261,26-35,Tier 3,Aggressive,0.1939,1.7,Distributor,M
1262,46-55,Tier 1,Moderate,0.2239,1.2,Direct,M
1263,55+,Tier 1,Aggressive,0.8114,3.1,Direct,F
1264,18-25,Tier 2,Moderate,0.0117,5.1,Bank,M
1265,46-55,Tier 2,Conservative,0.3674,4.8,Bank,F
1266,55+,Tier 2,Moderate,0.286,4.6,Distributor,M
1267,55+,Tier 2,Aggressive,0.1267,9.7,Direct,M
1268,18-25,Tier 1,Conservative,0.7361,4.4,Online,M
1269,26-35,Tier 2,Aggressive,0.3616,2.0,Distributor,F
1270,26-35,Tier 1,Conservative,0.1294,7.6,Direct,F
1271,46-55,Tier 1,Aggressive,0.1711,2.2,Direct,F
1272,36-45,Tier 1,Moderate,0.4317,7.5,Online,F
1273,18-25,Tier 2,Aggressive,0.0104,1.3,Distributor,F
1274,36-45,Tier 1,Aggressive,1.2052,3.0,Bank,F
1275,36-45,Tier 1,Moderate,0.6874,0.9,Bank,M
1276,46-55,Tier 1,Aggressive,0.2025,4.1,Bank,M
1277,55+,Tier 3,Conservative,0.7799,1.0,Bank,M
1278,18-25,Tier 1,Moderate,1.361,10.1,Online,F
1279,55+,Tier 1,Moderate,0.0878,0.4,Online,M
1280,46-55,Tier 1,Conservative,0.0603,2.5,Online,M
1281,46-55,Tier 3,Moderate,0.576,5.7,Direct,M
1282,18-25,Tier 1,Moderate,0.5446,0.7,Bank,M
1283,26-35,Tier 1,Aggressive,0.3737,12.7,Bank,F
1284,36-45,Tier 2,Moderate,0.0695,2.0,Distributor,M
1285,26-35,Tier 2,Moderate,2.142,1.6,Bank,M
1286,36-45,Tier 1,Aggressive,0.2598,0.7,Bank,F
1287,46-55,Tier 3,Conservative,0.219,8.8,Bank,M
1288,36-45,Tier 1,Moderate,0.2545,0.0,Direct,M
1289,46-55,Tier 3,Moderate,0.0506,4.5,Bank,F
1290,36-45,Tier 1,Moderate,0.4239,3.6,Bank,F
1291,26-35,Tier 1,Conservative,0.2028,0.8,Online,M
1292,36-45,Tier 1,Aggressive,0.9289,2.3,Distributor,F
1293,55+,Tier 1,Conservative,0.1098,8.4,Online,F
1294,55+,Tier 1,Moderate,0.0326,3.4,Direct,M
1295,36-45,Tier 3,Moderate,0.042,5.0,Direct,M
1296,18-25,Tier 3,Aggressive,0.2353,3.0,Direct,M
1297,18-25,Tier 1,Aggressive,0.516,1.6,Online,M
1298,36-45,Tier 1,Conservative,1.0238,5.8,Direct,M
1299,26-35,Tier 1,Aggressive,0.4715,0.1,Bank,F
1300,26-35,Tier 3,Moderate,0.0347,8.3,Online,F
1301,55+,Tier 2,Moderate,0.4804,2.8,Direct,M
1302,26-35,Tier 2,Moderate,0.1629,0.3,Direct,F
1303,46-55,Tier 2,Moderate,0.9414,0.8,Direct,F
1304,18-25,Tier 1,Aggressive,0.4366,2.6,Direct,F
1305,46-55,Tier 2,Conservative,1.0147,0.7,Distributor,M
1306,18-25,Tier 1,Moderate,0.3869,3.7,Online,M
1307,26-35,Tier 2,Aggressive,0.2269,0.3,Online,M
1308,26-35,Tier 3,Conservative,0.3271,2.6,Online,M
1309,18-25,Tier 2,Conservative,0.0683,6.0,Online,M
1310,55+,Tier 1,Conservative,0.5896,1.2,Direct,M
1311,18-25,Tier 2,Aggressive,0.1371,4.5,Bank,F
1312,18-25,Tier 2,Aggressive,0.753,0.2,Distributor,M
1313,46-55,Tier 1,Conservative,0.5128,5.7,Direct,M
1314,18-25,Tier 1,Conservative,0.7464,3.8,Online,F
1315,46-55,Tier 3,Aggressive,0.289,0.1,Distributor,M
1316,26-35,Tier 1,Aggressive,0.2379,0.7,Distributor,M
1317,46-55,Tier 3,Conservative,0.806,5.4,Bank,M
1318,36-45,Tier 2,Conservative,0.2678,3.1,Distributor,M
1319,36-45,Tier 1,Aggressive,0.4607,0.5,Distributor,F
1320,55+,Tier 1,Moderate,1.1738,0.4,Distributor,F
1321,36-45,Tier 2,Aggressive,0.4664,3.5,Direct,M
1322,36-45,Tier 1,Aggressive,0.2181,6.5,Online,M
1323,26-35,Tier 3,Conservative,1.9113,2.1,Distributor,M
1324,18-25,Tier 2,Moderate,0.171,0.7,Direct,M
1325,36-45,Tier 2,Aggressive,0.0145,1.0,Bank,M
1326,36-45,Tier 1,Aggressive,1.4511,3.3,Online,M
1327,36-45,Tier 2,Conservative,0.0277,0.4,Distributor,M
1328,46-55,Tier 2,Conservative,0.0268,5.5,Distributor,F
1329,46-55,Tier 1,Conservative,0.0625,5.7,Online,M
1330,55+,Tier 3,Aggressive,0.0374,1.3,Direct,M
1331,26-35,Tier 2,Conservative,0.1249,2.1,Bank,None
1332,36-45,Tier 1,Moderate,0.3411,1.6,Online,M
1333,36-45,Tier 2,Aggressive,0.0489,11.3,Distributor,M
1334,55+,Tier 1,Moderate,0.5947,4.4,Distributor,M
1335,18-25,Tier 3,Aggressive,0.3208,22.2,Bank,F
1336,55+,Tier 2,Moderate,0.3365,3.7,Direct,M
1337,46-55,Tier 2,Moderate,0.078,1.6,Distributor,M
1338,26-35,Tier 2,Aggressive,0.1538,2.9,Bank,M
1339,55+,Tier 2,Moderate,0.587,0.8,Direct,M
1340,18-25,Tier 1,Conservative,0.4414,2.3,Online,None
1341,55+,Tier 3,Aggressive,0.0454,6.5,Bank,F
1342,18-25,Tier 1,Aggressive,0.1019,0.2,Bank,M
1343,18-25,Tier 1,Moderate,0.7684,0.0,Direct,F
1344,55+,Tier 3,Conservative,0.8574,2.2,Direct,M
1345,18-25,Tier 1,Moderate,1.0267,0.9,Direct,F
1346,55+,Tier 2,Moderate,0.1978,0.3,Online,M
1347,46-55,Tier 2,Aggressive,0.3862,2.0,Online,F
1348,55+,Tier 1,Conservative,0.7076,0.7,Bank,None
1349,18-25,Tier 2,Aggressive,0.8475,0.0,Distributor,F
1350,46-55,Tier 2,Moderate,0.1415,2.5,Direct,F
1351,55+,Tier 1,Conservative,0.7408,2.9,Bank,M
1352,36-45,Tier 3,Aggressive,0.0371,4.7,Direct,M
1353,36-45,Tier 3,Aggressive,0.7554,5.9,Distributor,F
1354,18-25,Tier 1,Moderate,0.4302,8.1,Online,M
1355,18-25,Tier 2,Aggressive,0.0109,7.4,Distributor,F
1356,26-35,Tier 1,Conservative,0.099,3.6,Bank,M
1357,36-45,Tier 1,Conservative,1.243,6.1,Distributor,F
1358,46-55,Tier 1,Moderate,1.0154,9.2,Bank,M
1359,26-35,Tier 1,Aggressive,2.6933,1.7,Online,F
1360,55+,Tier 2,Conservative,1.107,0.8,Online,F
1361,46-55,Tier 2,Conservative,2.4599,0.8,Distributor,F
1362,55+,Tier 3,Aggressive,0.2493,1.5,Bank,F
1363,46-55,Tier 2,Moderate,0.3619,0.8,Bank,F
1364,18-25,Tier 1,Moderate,1.1748,2.4,Online,M
1365,36-45,Tier 1,Aggressive,0.7967,2.4,Distributor,F
1366,36-45,Tier 3,Aggressive,0.6352,0.9,Online,M
1367,18-25,Tier 1,Aggressive,0.3976,4.4,Online,F
1368,26-35,Tier 1,Conservative,0.3021,0.4,Online,F
1369,18-25,Tier 3,Conservative,1.5386,1.4,Online,M
1370,26-35,Tier 1,Aggressive,1.3082,3.0,Direct,F
1371,26-35,Tier 1,Aggressive,0.5996,0.4,Online,None
1372,18-25,Tier 1,Moderate,0.7317,2.5,Online,M
1373,55+,Tier 2,Aggressive,0.9174,6.7,Online,None
1374,55+,Tier 3,Conservative,1.5417,1.9,Online,M
1375,46-55,Tier 1,Conservative,0.3464,1.8,Online,M
1376,18-25,Tier 1,Moderate,1.7031,2.4,Bank,M
1377,55+,Tier 2,Aggressive,0.3676,0.1,Online,M
1378,46-55,Tier 2,Aggressive,0.3286,4.1,Bank,F
1379,55+,Tier 1,Moderate,0.1071,1.0,Online,M
1380,18-25,Tier 2,Aggressive,0.0541,6.3,Online,M
1381,55+,Tier 2,Moderate,0.7749,1.3,Distributor,M
1382,26-35,Tier 2,Conservative,0.8067,1.7,Direct,M
1383,26-35,Tier 3,Conservative,0.812,0.6,Distributor,M
1384,26-35,Tier 3,Conservative,0.1304,4.9,Direct,M
1385,26-35,Tier 3,Conservative,0.0063,0.3,Bank,M
1386,36-45,Tier 1,Conservative,0.9878,2.7,Direct,M
1387,26-35,Tier 1,Moderate,0.7607,2.8,Online,F
1388,18-25,Tier 1,Aggressive,0.2237,1.9,Distributor,M
1389,26-35,Tier 2,Aggressive,0.3592,6.1,Online,M
1390,36-45,Tier 1,Aggressive,0.0473,4.1,Online,M
1391,36-45,Tier 2,Conservative,0.0848,2.2,Distributor,F
1392,55+,Tier 3,Aggressive,0.2767,3.7,Direct,F
1393,26-35,Tier 2,Aggressive,0.0452,2.6,Direct,M
1394,55+,Tier 3,Aggressive,0.0825,2.6,Online,M
1395,26-35,Tier 2,Moderate,0.2266,10.2,Online,M
1396,18-25,Tier 1,Conservative,0.2059,0.0,Direct,F
1397,26-35,Tier 2,Aggressive,0.2844,7.6,Online,F
1398,46-55,Tier 1,Moderate,0.9512,0.3,Online,M
1399,18-25,Tier 3,Moderate,0.3902,2.0,Bank,M
1400,46-55,Tier 2,Moderate,0.2871,0.9,Direct,F
1401,26-35,Tier 1,Moderate,0.0202,0.4,Direct,M
1402,36-45,Tier 1,Moderate,0.3774,0.2,Bank,F
1403,18-25,Tier 2,Moderate,0.0648,1.1,Distributor,M
1404,46-55,Tier 1,Aggressive,0.8684,0.1,Distributor,M
1405,36-45,Tier 2,Aggressive,0.2519,0.6,Online,M
1406,46-55,Tier 1,Aggressive,0.3301,1.3,Distributor,F
1407,18-25,Tier 1,Moderate,0.244,0.7,Bank,M
1408,26-35,Tier 1,Aggressive,0.6457,1.8,Online,F
1409,55+,Tier 3,Conservative,0.2833,2.5,Distributor,F
1410,46-55,Tier 2,Moderate,0.7172,1.0,Direct,M
1411,55+,Tier 1,Conservative,0.3984,0.5,Distributor,M
1412,18-25,Tier 1,Moderate,0.3027,4.7,Bank,M
1413,55+,Tier 1,Moderate,0.9248,8.7,Online,M
1414,46-55,Tier 1,Aggressive,0.3219,12.5,Online,M
1415,26-35,Tier 1,Aggressive,0.885,0.5,Bank,M
1416,46-55,Tier 1,Aggressive,0.4198,2.4,Online,F
1417,26-35,Tier 1,Moderate,0.7142,2.6,Online,F
1418,55+,Tier 2,Moderate,0.8379,2.0,Online,M
1419,55+,Tier 3,Conservative,1.0516,7.9,Bank,M
1420,18-25,Tier 1,Moderate,0.6054,7.5,Bank,M
1421,55+,Tier 2,Aggressive,1.3042,2.4,Direct,M
1422,36-45,Tier 3,Aggressive,0.9696,2.3,Online,F
1423,36-45,Tier 1,Aggressive,0.8694,11.4,Direct,None
1424,18-25,Tier 1,Aggressive,0.4074,1.2,Bank,M
1425,26-35,Tier 1,Moderate,0.061,1.3,Direct,M
1426,26-35,Tier 1,Moderate,0.515,5.1,Direct,F
1427,26-35,Tier 1,Aggressive,1.3045,4.4,Bank,M
1428,18-25,Tier 2,Aggressive,0.0378,0.8,Online,F
1429,36-45,Tier 2,Moderate,0.8814,3.7,Direct,F
1430,36-45,Tier 1,Conservative,0.2591,0.3,Direct,F
1431,55+,Tier 1,Moderate,0.1783,2.2,Distributor,F
1432,55+,Tier 1,Aggressive,0.672,2.3,Bank,M
1433,26-35,Tier 3,Aggressive,0.0125,1.4,Direct,M
1434,18-25,Tier 2,Conservative,0.2407,3.5,Direct,F
1435,36-45,Tier 1,Aggressive,0.6198,0.5,Distributor,M
1436,18-25,Tier 1,Aggressive,0.3472,0.1,Online,M
1437,26-35,Tier 1,Aggressive,0.8448,1.2,Distributor,F
1438,18-25,Tier 2,Moderate,0.4058,5.4,Online,M
1439,36-45,Tier 2,Aggressive,0.0147,7.2,Online,M
1440,46-55,Tier 3,Moderate,0.5591,1.5,Online,M
1441,46-55,Tier 1,Moderate,2.3837,0.8,Bank,M
1442,18-25,Tier 2,Conservative,0.8221,1.4,Distributor,M
1443,18-25,Tier 2,Aggressive,1.5523,0.4,Distributor,M
1444,26-35,Tier 1,Aggressive,1.6403,5.7,Distributor,F
1445,55+,Tier 2,Moderate,0.3604,9.0,Direct,M
1446,18-25,Tier 1,Conservative,1.3738,2.4,Bank,F
1447,55+,Tier 1,Aggressive,0.2584,0.8,Direct,F
1448,55+,Tier 2,Moderate,0.0375,2.7,Distributor,M
1449,55+,Tier 2,Aggressive,0.4201,0.7,Distributor,F
1450,26-35,Tier 1,Moderate,0.6545,0.3,Online,M
1451,36-45,Tier 1,Aggressive,0.7389,1.1,Direct,M
1452,18-25,Tier 2,Aggressive,0.3491,1.8,Bank,F
1453,18-25,Tier 1,Aggressive,1.2253,2.4,Distributor,M
1454,55+,Tier 1,Moderate,0.5354,3.5,Distributor,F
1455,36-45,Tier 1,Conservative,0.3192,0.2,Direct,F
1456,36-45,Tier 2,Conservative,1.5831,2.0,Online,M
1457,55+,Tier 2,Aggressive,0.3898,3.4,Direct,M
1458,18-25,Tier 1,Conservative,0.4165,0.6,Distributor,F
1459,36-45,Tier 1,Moderate,2.6129,4.1,Direct,F
1460,36-45,Tier 1,Moderate,0.1424,1.2,Bank,F
1461,26-35,Tier 1,Conservative,0.0148,4.0,Bank,F
1462,36-45,Tier 1,Conservative,1.0626,3.3,Online,M
1463,46-55,Tier 2,Aggressive,0.1536,6.2,Distributor,F
1464,55+,Tier 1,Moderate,1.3225,3.7,Direct,M
1465,18-25,Tier 3,Moderate,0.8577,2.1,Distributor,M
1466,36-45,Tier 1,Moderate,0.0553,7.7,Direct,F
1467,46-55,Tier 3,Conservative,0.0404,0.9,Bank,F
1468,46-55,Tier 1,Moderate,0.8616,4.0,Online,M
1469,18-25,Tier 1,Aggressive,0.2207,8.9,Direct,M
1470,55+,Tier 1,Conservative,0.1117,3.2,Online,M
1471,26-35,Tier 3,Moderate,1.2566,8.5,Distributor,M
1472,26-35,Tier 1,Aggressive,1.0228,3.3,Online,M
1473,46-55,Tier 1,Moderate,0.6969,4.0,Online,F
1474,18-25,Tier 1,Moderate,0.8805,4.4,Bank,M
1475,18-25,Tier 1,Moderate,0.9262,3.6,Direct,F
1476,26-35,Tier 1,Conservative,0.2151,1.1,Online,M
1477,36-45,Tier 3,Aggressive,0.3229,5.4,Distributor,M
1478,55+,Tier 2,Conservative,0.4195,0.4,Distributor,F
1479,26-35,Tier 2,Aggressive,0.3714,1.4,Bank,M
1480,55+,Tier 1,Aggressive,0.2101,1.0,Online,M
1481,18-25,Tier 3,Conservative,0.8016,0.9,Online,M
1482,55+,Tier 3,Aggressive,0.1964,2.0,Direct,M
1483,55+,Tier 3,Aggressive,0.3149,2.7,Bank,M
1484,55+,Tier 3,Conservative,0.1913,1.1,Distributor,F
1485,55+,Tier 1,Moderate,0.4167,0.6,Bank,M
1486,26-35,Tier 1,Moderate,0.0531,1.2,Bank,F
1487,46-55,Tier 1,Aggressive,0.4676,5.6,Online,F
1488,26-35,Tier 1,Conservative,0.4145,3.1,Distributor,M
1489,18-25,Tier 3,Aggressive,0.1721,10.1,Online,M
1490,55+,Tier 1,Moderate,1.3736,0.6,Distributor,M
1491,26-35,Tier 3,Aggressive,1.2808,3.0,Direct,F
1492,18-25,Tier 3,Moderate,0.7093,1.5,Online,None
1493,36-45,Tier 1,Conservative,0.5959,2.0,Distributor,F
1494,18-25,Tier 1,Aggressive,0.2815,1.8,Bank,F
1495,26-35,Tier 1,Moderate,0.5947,5.1,Distributor,F
1496,36-45,Tier 2,Aggressive,1.8692,3.8,Bank,M
1497,36-45,Tier 3,Aggressive,0.085,0.8,Bank,M
1498,26-35,Tier 2,Conservative,0.5496,0.8,Distributor,F
1499,26-35,Tier 3,Conservative,0.0723,3.5,Direct,M
1500,46-55,Tier 1,Aggressive,0.1281,1.0,Bank,M
1501,26-35,Tier 3,Aggressive,0.0306,4.8,Bank,F
1502,36-45,Tier 2,Moderate,0.2109,0.3,Distributor,M
1503,18-25,Tier 2,Aggressive,0.1693,3.9,Direct,M
1504,46-55,Tier 3,Moderate,1.9797,3.7,Bank,M
1505,18-25,Tier 1,Aggressive,0.512,6.1,Direct,None
1506,18-25,Tier 2,Moderate,0.5725,2.2,Distributor,F
1507,18-25,Tier 3,Moderate,0.2035,0.6,Bank,M
1508,18-25,Tier 1,Conservative,0.458,4.7,Direct,M
1509,46-55,Tier 2,Conservative,0.0443,1.4,Bank,M
1510,46-55,Tier 1,Aggressive,0.048,2.9,Bank,M
1511,55+,Tier 2,Aggressive,0.0404,0.2,Direct,F
1512,55+,Tier 2,Conservative,0.3041,2.7,Online,M
1513,46-55,Tier 1,Moderate,0.6533,0.1,Bank,F
1514,55+,Tier 1,Aggressive,0.546,1.1,Bank,F
1515,26-35,Tier 3,Moderate,0.2797,0.2,Online,F
1516,55+,Tier 1,Conservative,1.1415,11.3,Direct,None
1517,26-35,Tier 1,Aggressive,0.6038,1.9,Bank,M
1518,46-55,Tier 2,Moderate,1.3458,1.6,Online,M
1519,26-35,Tier 1,Aggressive,0.0676,3.7,Direct,M
1520,55+,Tier 2,Moderate,0.3443,4.0,Direct,M
1521,26-35,Tier 3,Aggressive,0.1796,3.4,Direct,M
1522,26-35,Tier 3,Aggressive,0.4324,1.2,Direct,F
1523,26-35,Tier 1,Moderate,0.0458,7.0,Direct,M
1524,46-55,Tier 2,Moderate,0.1857,4.1,Direct,M
1525,55+,Tier 1,Aggressive,0.0039,6.5,Direct,M
1526,55+,Tier 2,Moderate,0.1614,3.5,Direct,F
1527,55+,Tier 1,Aggressive,1.1224,3.9,Online,F
1528,18-25,Tier 3,Moderate,0.131,0.0,Bank,F
1529,55+,Tier 3,Aggressive,0.1656,9.8,Online,F
1530,36-45,Tier 1,Conservative,0.6689,3.7,Distributor,F
1531,26-35,Tier 1,Aggressive,0.1203,4.0,Direct,F
1532,46-55,Tier 3,Conservative,0.1145,0.5,Online,M
1533,46-55,Tier 1,Moderate,1.1139,0.6,Bank,M
1534,55+,Tier 1,Moderate,0.6093,5.5,Online,M
1535,46-55,Tier 1,Conservative,0.6027,0.1,Direct,F
1536,26-35,Tier 1,Conservative,1.5909,0.2,Distributor,M
1537,55+,Tier 1,Conservative,0.38,6.1,Distributor,F
1538,18-25,Tier 2,Aggressive,0.4681,1.5,Direct,F
1539,26-35,Tier 1,Moderate,0.7186,2.8,Online,M
1540,46-55,Tier 3,Aggressive,1.2526,1.1,Distributor,M
1541,55+,Tier 1,Moderate,0.4395,0.2,Bank,F
1542,36-45,Tier 2,Aggressive,0.3382,1.1,Direct,F
1543,18-25,Tier 1,Aggressive,0.5232,8.8,Online,F
1544,46-55,Tier 2,Conservative,0.0292,3.6,Bank,M
1545,55+,Tier 1,Moderate,1.4828,0.2,Online,F
1546,26-35,Tier 1,Aggressive,0.2097,3.1,Direct,M
1547,18-25,Tier 3,Moderate,0.0217,1.3,Bank,M
1548,36-45,Tier 3,Moderate,0.3153,0.2,Distributor,F
1549,18-25,Tier 1,Aggressive,1.4047,2.9,Distributor,None
1550,46-55,Tier 2,Aggressive,0.1012,10.2,Online,F
1551,55+,Tier 2,Aggressive,2.1381,0.1,Online,F
1552,36-45,Tier 1,Conservative,0.3188,0.4,Distributor,F
1553,26-35,Tier 2,Conservative,0.3257,0.5,Direct,M
1554,18-25,Tier 2,Aggressive,0.2917,7.7,Distributor,F
1555,26-35,Tier 3,Moderate,0.6746,0.6,Bank,F
1556,55+,Tier 1,Moderate,2.4677,1.2,Online,M
1557,36-45,Tier 2,Moderate,0.439,0.3,Online,M
1558,36-45,Tier 3,Conservative,0.7266,0.6,Direct,None
1559,36-45,Tier 3,Moderate,0.2886,0.3,Distributor,M
1560,36-45,Tier 1,Conservative,0.679,1.6,Distributor,M
1561,18-25,Tier 1,Conservative,0.0245,3.7,Online,F
1562,36-45,Tier 3,Conservative,0.4376,3.8,Distributor,F
1563,36-45,Tier 1,Aggressive,1.5495,4.4,Direct,M
1564,36-45,Tier 1,Moderate,1.3646,1.2,Distributor,M
1565,46-55,Tier 1,Conservative,0.5223,1.3,Distributor,M
1566,36-45,Tier 1,Moderate,0.0438,0.7,Distributor,M
1567,26-35,Tier 3,Conservative,0.293,0.0,Direct,M
1568,26-35,Tier 3,Conservative,0.0708,0.8,Distributor,M
1569,26-35,Tier 2,Conservative,0.496,0.6,Bank,F
1570,36-45,Tier 1,Conservative,0.7828,10.6,Online,F
1571,55+,Tier 1,Moderate,0.097,6.9,Online,F
1572,55+,Tier 2,Moderate,1.0643,2.5,Distributor,M
1573,26-35,Tier 1,Aggressive,0.5773,0.9,Direct,M
1574,18-25,Tier 1,Aggressive,0.4581,0.4,Direct,M
1575,18-25,Tier 1,Moderate,0.5106,0.8,Direct,M
1576,46-55,Tier 1,Conservative,0.3627,0.4,Direct,F
1577,46-55,Tier 1,Moderate,0.1698,2.7,Direct,None
1578,26-35,Tier 2,Moderate,0.3486,1.1,Distributor,M
1579,55+,Tier 3,Aggressive,0.4142,0.5,Online,F
1580,36-45,Tier 2,Conservative,0.2596,5.1,Bank,M
1581,36-45,Tier 1,Moderate,0.2158,2.5,Distributor,F
1582,18-25,Tier 2,Conservative,0.0856,1.0,Direct,M
1583,18-25,Tier 2,Moderate,1.2049,1.8,Direct,M
1584,46-55,Tier 2,Moderate,0.3627,6.8,Distributor,M
1585,26-35,Tier 1,Moderate,0.1167,3.9,Online,M
1586,55+,Tier 3,Conservative,0.1352,0.9,Online,F
1587,36-45,Tier 2,Conservative,0.5086,2.6,Direct,F
1588,46-55,Tier 3,Conservative,0.2618,2.6,Online,M
1589,46-55,Tier 1,Aggressive,0.0222,1.1,Online,M
1590,18-25,Tier 2,Conservative,0.0129,0.1,Online,F
1591,46-55,Tier 1,Moderate,0.1775,2.6,Direct,M
1592,18-25,Tier 3,Conservative,0.9326,1.3,Distributor,F
1593,55+,Tier 1,Conservative,0.6242,1.9,Bank,M
1594,46-55,Tier 2,Conservative,0.3101,0.6,Direct,M
